"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"34201",49,"entrepreneur","married","basic.4y","unknown","yes","no","cellular","may","wed",491,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no"
"4756",49,"blue-collar","married","basic.6y","no","yes","no","telephone","may","wed",97,1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"10225",34,"blue-collar","married","basic.9y","no","no","no","telephone","jun","mon",157,29,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
"34733",52,"technician","married","basic.6y","unknown","no","no","cellular","may","thu",152,3,999,1,"failure",-1.8,92.893,-46.2,1.266,5099.1,"no"
"30397",38,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",645,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
"20384",29,"technician","single","professional.course","no","no","no","cellular","aug","tue",168,2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"17752",50,"technician","married","professional.course","unknown","yes","no","cellular","jul","tue",116,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"1846",40,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","fri",296,2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"2516",47,"technician","married","basic.9y","no","yes","no","telephone","may","tue",271,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"13222",24,"blue-collar","single","basic.4y","no","no","no","cellular","jul","wed",115,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"15486",56,"blue-collar","married","basic.4y","no","yes","no","cellular","jul","fri",641,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes"
"37981",28,"technician","married","high.school","no","yes","no","cellular","sep","mon",89,1,4,1,"success",-3.4,92.379,-29.8,0.797,5017.5,"no"
"32005",37,"blue-collar","married","basic.6y","unknown","no","no","cellular","may","thu",635,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no"
"7241",36,"blue-collar","married","basic.9y","no","yes","no","telephone","may","thu",55,2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"29441",24,"technician","single","high.school","no","yes","no","cellular","apr","mon",390,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"40534",28,"student","single","university.degree","no","yes","no","telephone","aug","wed",6,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.89,4991.6,"no"
"31426",30,"management","single","high.school","no","no","yes","cellular","may","wed",402,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"1116",58,"self-employed","married","professional.course","no","yes","no","telephone","may","wed",84,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"37565",63,"blue-collar","married","basic.4y","no","yes","yes","cellular","aug","fri",107,3,999,0,"nonexistent",-2.9,92.201,-31.4,0.869,5076.2,"no"
"25360",52,"technician","married","professional.course","no","yes","yes","telephone","nov","tue",285,2,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
"14378",33,"entrepreneur","married","university.degree","no","yes","no","telephone","jul","mon",35,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"40844",30,"student","single","professional.course","no","no","no","telephone","sep","tue",237,2,999,0,"nonexistent",-1.1,94.199,-37.5,0.88,4963.6,"no"
"36079",34,"services","married","high.school","no","no","no","cellular","may","tue",222,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"16801",50,"technician","married","professional.course","no","no","yes","cellular","jul","thu",168,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"29717",33,"technician","divorced","professional.course","no","yes","no","cellular","apr","mon",153,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"7486",57,"services","divorced","high.school","no","no","no","telephone","may","fri",251,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"12428",26,"admin.","single","university.degree","no","yes","yes","cellular","jul","mon",118,4,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"15177",29,"blue-collar","single","high.school","no","no","no","cellular","jul","thu",353,3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
"29549",40,"services","married","high.school","no","yes","no","cellular","apr","mon",72,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"30329",57,"retired","married","university.degree","no","no","no","cellular","apr","thu",81,1,999,1,"failure",-1.8,93.075,-47.1,1.365,5099.1,"no"
"7280",29,"services","single","basic.4y","no","yes","no","telephone","may","thu",382,3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
"15144",45,"services","married","basic.9y","unknown","yes","yes","cellular","jul","thu",270,1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
"27507",57,"admin.","married","high.school","no","yes","no","cellular","nov","fri",41,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"33464",31,"technician","single","professional.course","no","no","no","cellular","may","tue",163,2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
"19136",32,"housemaid","married","professional.course","no","yes","yes","cellular","aug","tue",291,1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
"4384",57,"blue-collar","married","unknown","unknown","yes","no","telephone","may","tue",473,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"5088",36,"blue-collar","single","high.school","no","no","yes","telephone","may","fri",154,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"21872",56,"admin.","married","university.degree","no","no","no","cellular","aug","wed",552,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes"
"33505",33,"technician","single","professional.course","no","yes","no","telephone","may","tue",422,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
"29229",34,"technician","married","university.degree","no","no","no","cellular","apr","fri",772,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
"21335",45,"admin.","married","high.school","no","yes","yes","cellular","aug","mon",124,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"31162",30,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",129,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no"
"7421",25,"technician","single","professional.course","no","yes","no","telephone","may","fri",65,1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"17255",58,"services","married","high.school","no","yes","no","cellular","jul","fri",72,30,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"12567",50,"management","married","university.degree","no","yes","no","cellular","jul","mon",236,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"23769",40,"technician","divorced","professional.course","no","yes","no","cellular","aug","thu",247,1,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"2351",49,"services","divorced","basic.9y","no","yes","no","telephone","may","tue",259,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"32937",30,"blue-collar","married","basic.6y","no","yes","yes","cellular","may","mon",429,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
"30937",38,"blue-collar","married","basic.6y","no","yes","no","cellular","may","tue",788,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"yes"
"37666",33,"blue-collar","divorced","basic.4y","no","yes","no","cellular","aug","tue",395,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.859,5076.2,"yes"
"38260",30,"management","married","university.degree","no","yes","no","cellular","oct","tue",1226,2,999,0,"nonexistent",-3.4,92.431,-26.9,0.742,5017.5,"yes"
"40618",33,"admin.","married","university.degree","no","no","no","cellular","sep","mon",369,3,999,0,"nonexistent",-1.1,94.199,-37.5,0.882,4963.6,"yes"
"2560",51,"entrepreneur","married","basic.9y","no","yes","no","telephone","may","tue",142,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"12819",33,"services","married","high.school","no","no","no","cellular","jul","tue",130,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"37954",39,"blue-collar","married","basic.9y","no","yes","no","cellular","sep","fri",293,1,3,1,"success",-3.4,92.379,-29.8,0.803,5017.5,"yes"
"31120",46,"services","divorced","basic.9y","no","yes","no","cellular","may","wed",403,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
"2618",30,"services","single","unknown","no","yes","no","telephone","may","tue",205,3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"32203",53,"admin.","married","high.school","no","yes","no","cellular","may","fri",291,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"10775",44,"services","single","high.school","no","no","no","telephone","jun","tue",363,3,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"6599",34,"admin.","married","university.degree","no","no","no","telephone","may","wed",162,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"32384",37,"services","single","professional.course","no","no","no","cellular","may","fri",462,1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
"1808",41,"management","married","unknown","no","yes","no","telephone","may","fri",129,3,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"2860",49,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","wed",170,2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"20727",33,"admin.","single","university.degree","no","yes","no","cellular","aug","wed",66,2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"12093",49,"housemaid","married","basic.4y","no","no","yes","telephone","jun","fri",183,2,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,"no"
"9655",36,"admin.","married","university.degree","no","no","no","telephone","jun","mon",199,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"20860",42,"admin.","married","professional.course","unknown","no","yes","cellular","aug","thu",36,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"39399",41,"admin.","divorced","high.school","no","no","no","telephone","apr","thu",558,2,999,0,"nonexistent",-1.8,93.749,-34.6,0.635,5008.7,"yes"
"36736",32,"management","single","university.degree","no","no","no","cellular","jun","mon",257,2,3,1,"success",-2.9,92.963,-40.8,1.281,5076.2,"yes"
"20210",35,"technician","married","professional.course","no","no","no","cellular","aug","mon",189,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"36662",32,"admin.","single","university.degree","no","no","no","cellular","jun","fri",255,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"yes"
"37097",50,"self-employed","married","unknown","no","unknown","unknown","cellular","jul","mon",506,2,999,0,"nonexistent",-2.9,92.469,-33.6,0.914,5076.2,"no"
"2184",58,"management","married","university.degree","no","no","no","telephone","may","mon",236,10,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"20339",43,"admin.","married","university.degree","unknown","no","no","cellular","aug","tue",101,1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
"29477",43,"technician","divorced","professional.course","unknown","no","no","cellular","apr","mon",131,2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"4933",53,"self-employed","married","university.degree","no","yes","no","telephone","may","wed",162,3,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
"15692",29,"blue-collar","married","basic.4y","no","yes","yes","cellular","jul","mon",472,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"19301",39,"admin.","single","university.degree","no","no","no","cellular","aug","wed",127,1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
"6240",42,"admin.","married","high.school","no","yes","no","telephone","may","tue",453,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"6681",39,"housemaid","married","university.degree","no","yes","no","telephone","may","wed",536,7,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"22808",35,"management","married","university.degree","no","no","yes","telephone","aug","mon",67,5,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"478",39,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",114,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"6333",33,"admin.","divorced","high.school","no","yes","no","telephone","may","tue",110,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"23023",31,"technician","divorced","high.school","no","yes","no","cellular","aug","tue",254,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"13826",52,"admin.","married","high.school","no","yes","no","cellular","jul","fri",89,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"29917",37,"blue-collar","single","professional.course","no","yes","no","cellular","apr","mon",12,5,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
"27196",57,"technician","married","professional.course","no","yes","no","cellular","nov","fri",42,1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"13743",28,"admin.","single","high.school","no","yes","no","cellular","jul","thu",270,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"2797",55,"blue-collar","married","basic.4y","unknown","yes","no","telephone","may","wed",171,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"11343",25,"admin.","married","high.school","unknown","no","no","telephone","jun","thu",18,18,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"32240",42,"admin.","single","high.school","no","yes","no","cellular","may","fri",92,1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no"
"1318",45,"admin.","married","university.degree","no","no","no","telephone","may","thu",319,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"30691",34,"management","married","university.degree","no","yes","yes","cellular","may","tue",106,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no"
"15216",31,"blue-collar","divorced","basic.9y","no","no","no","cellular","jul","thu",551,3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes"
"2755",51,"services","married","high.school","unknown","yes","no","telephone","may","wed",127,3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"15895",27,"admin.","single","high.school","unknown","no","no","cellular","jul","mon",510,6,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"23499",57,"management","married","university.degree","no","yes","no","cellular","aug","thu",17,11,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"9945",26,"admin.","single","high.school","no","no","no","telephone","jun","wed",203,4,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
"2199",36,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","mon",58,7,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"32635",37,"entrepreneur","married","basic.9y","no","no","no","cellular","may","mon",69,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
"15197",23,"management","single","university.degree","no","no","no","cellular","jul","thu",271,2,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
"14500",45,"blue-collar","married","basic.4y","unknown","no","no","telephone","jul","tue",49,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"951",41,"services","divorced","high.school","no","yes","yes","telephone","may","wed",60,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"30961",38,"blue-collar","divorced","high.school","no","yes","no","cellular","may","tue",334,6,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no"
"18525",29,"technician","married","university.degree","no","no","no","telephone","jul","thu",240,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"23251",44,"technician","divorced","professional.course","no","no","no","cellular","aug","wed",157,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
"33183",33,"technician","single","professional.course","no","yes","no","cellular","may","tue",377,1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
"16250",38,"blue-collar","married","basic.6y","unknown","no","no","cellular","jul","tue",403,7,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"5504",43,"services","married","high.school","no","yes","no","telephone","may","mon",312,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"11247",39,"blue-collar","married","basic.6y","unknown","yes","no","telephone","jun","thu",453,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
"22331",55,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","thu",176,3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"31183",46,"services","married","basic.9y","no","no","no","cellular","may","wed",984,1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"yes"
"36016",40,"student","single","high.school","no","yes","no","cellular","may","tue",333,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no"
"39199",43,"self-employed","married","university.degree","no","yes","no","cellular","mar","mon",264,2,9,1,"success",-1.8,93.369,-34.8,0.652,5008.7,"yes"
"26946",46,"admin.","divorced","university.degree","no","unknown","unknown","cellular","nov","thu",257,2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
"8371",36,"services","divorced","professional.course","no","no","no","telephone","jun","tue",199,4,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"29547",32,"student","single","university.degree","no","yes","no","cellular","apr","mon",712,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
"16019",30,"admin.","single","high.school","no","yes","no","cellular","jul","tue",1352,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
"21606",59,"admin.","married","basic.4y","unknown","yes","yes","cellular","aug","tue",292,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"14483",57,"self-employed","married","professional.course","no","yes","no","cellular","jul","tue",1056,2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
"12510",59,"technician","divorced","university.degree","no","no","no","cellular","jul","mon",39,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"1636",45,"management","married","basic.4y","unknown","yes","no","telephone","may","fri",100,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"20200",36,"admin.","married","university.degree","no","no","no","cellular","aug","mon",83,3,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"14327",30,"technician","single","professional.course","no","yes","no","cellular","jul","mon",136,5,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"8975",34,"services","divorced","professional.course","unknown","yes","no","telephone","jun","thu",339,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"8838",31,"admin.","married","basic.9y","no","no","no","telephone","jun","thu",145,1,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no"
"40920",22,"unemployed","single","university.degree","no","no","yes","telephone","oct","mon",34,2,999,0,"nonexistent",-1.1,94.601,-49.5,0.977,4963.6,"no"
"17233",50,"technician","married","university.degree","no","no","no","cellular","jul","fri",95,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"21359",29,"admin.","single","university.degree","no","no","yes","cellular","aug","mon",119,6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"15205",25,"admin.","single","university.degree","no","yes","no","cellular","jul","thu",271,5,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
"28141",55,"technician","married","professional.course","no","no","no","cellular","apr","mon",376,2,999,1,"failure",-1.8,93.075,-47.1,1.466,5099.1,"no"
"22118",49,"blue-collar","married","high.school","unknown","yes","no","cellular","aug","thu",199,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"7563",38,"blue-collar","single","basic.9y","unknown","no","no","telephone","may","fri",91,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"25076",37,"retired","divorced","basic.9y","unknown","no","no","telephone","nov","tue",114,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
"14854",31,"blue-collar","single","basic.9y","no","yes","no","cellular","jul","wed",325,2,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"10096",43,"blue-collar","married","basic.9y","no","yes","no","telephone","jun","thu",237,1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
"29029",35,"services","married","high.school","no","yes","no","cellular","apr","fri",84,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
"34971",42,"self-employed","married","professional.course","unknown","unknown","unknown","cellular","may","fri",665,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no"
"23031",40,"technician","divorced","professional.course","no","yes","no","cellular","aug","tue",109,8,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"19598",39,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",90,2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no"
"17810",48,"housemaid","married","basic.4y","unknown","yes","yes","cellular","jul","tue",72,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"27330",54,"admin.","married","university.degree","unknown","no","no","cellular","nov","fri",298,2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no"
"34944",50,"blue-collar","married","basic.4y","no","no","no","cellular","may","fri",67,1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
"4467",40,"blue-collar","married","basic.6y","unknown","no","no","telephone","may","tue",85,2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"27778",32,"management","single","university.degree","no","yes","yes","cellular","mar","tue",97,1,999,0,"nonexistent",-1.8,92.843,-50,1.687,5099.1,"no"
"1766",41,"blue-collar","married","high.school","no","yes","no","telephone","may","fri",70,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"28178",60,"retired","divorced","basic.4y","no","no","no","cellular","apr","tue",465,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,"yes"
"15670",30,"management","single","university.degree","no","yes","no","cellular","jul","mon",96,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"40064",21,"student","single","unknown","no","yes","yes","cellular","jul","thu",173,11,9,2,"failure",-1.7,94.215,-40.3,0.81,4991.6,"no"
"10322",57,"services","divorced","high.school","unknown","yes","no","telephone","jun","mon",80,4,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"no"
"539",38,"admin.","single","basic.6y","unknown","no","no","telephone","may","tue",250,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
"24600",31,"services","single","high.school","unknown","yes","no","cellular","nov","mon",130,3,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"2745",27,"admin.","single","high.school","no","yes","no","telephone","may","wed",1328,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes"
"15866",22,"blue-collar","single","unknown","unknown","no","no","telephone","jul","mon",50,4,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"12474",28,"housemaid","single","basic.6y","no","no","no","cellular","jul","mon",94,1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
"7470",48,"blue-collar","married","professional.course","no","no","no","telephone","may","fri",120,2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no"
"8714",49,"blue-collar","married","unknown","unknown","no","no","telephone","jun","wed",112,4,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"13365",60,"unknown","married","basic.4y","unknown","yes","no","cellular","jul","wed",659,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
